1: Comida
2: Armas
3: Armaduras
4: Arboles
5: Dinero
6: Puertas
7: Objetos contenedores (por ejemplo bolsas y cofres)
8: Carteles
9: Llaves
10: Foros
11: Pociones
12: Libros
13: Bebida
14: Leña
15: Fogata
16: Guantes
17: Anillo
18: Herramientas
19: telep
20: Muebles
21: joyas
22: yacimiento
23: metales
24: pergaminos
25: aura
26: Instrumentos Musicales
27: Yunque
28: Fragua
29: Gemas
30: Flores
31: barcos "Galeon, Fragata"
32: flechas
33: botellas vacias
34: botellas llenas
35: manchas
36: Pocis que Resucitan
37: HEAD
38: Hierbas
39: Lana
40: Oveja
41: Pases
42: Arbol Elfico
43: BarcoArmada
45: Amuleto Defensa y Anillos
47: Amuleto Teletransportador
48: Huevo de la gloria eterna
49: Talisman de la gloria eterna
50: Vale por 500k de experiencia
51: Pack Premium
